Suburb,Council,Post Code,District,Latitude,Longitude,State
Bandiana,Wodonga City,3691,North East District,-36.1167,146.8833,Victoria
Bangerang,Yarriambiack Shire (South Of Netting Fence),3393,Wimmera District,-36.0262,142.4045,Victoria
Bangholme,Greater Dandenong City,3175,Central District,-38.0011,145.1907,Victoria
Banksia Peninsula,East Gippsland Shire,3875,East Gippsland District,-37.3456,148.5829,Victoria
Bannerton,Swan Hill Rural City,3549,Mallee District,-35.3378,143.5544,Victoria
Bannockburn,Golden Plains Shire,3331,Central District,-37.8523,143.8635,Victoria
Banyan,Buloke Shire,3485,Mallee District,-35.8464,143.05200000000002,Victoria
Banyena,Northern Grampians Shire,3388,Wimmera District,-36.8496,142.873,Victoria
Baranduda,Wodonga City,3691,North East District,-36.1167,146.8833,Victoria
Barfold,Mount Alexander Shire,3444,North Central District,-37.0761,144.1882,Victoria
Baringhup,Mount Alexander Shire,3463,North Central District,-37.0761,144.1882,Victoria
Baringhup West,Mount Alexander Shire,3463,North Central District,-37.0761,144.1882,Victoria
Barjarg,Mansfield Shire,3723,North East District,-37.05,146.0833,Victoria
Barkers Creek,Mount Alexander Shire,3451,North Central District,-37.0761,144.1882,Victoria
Barkly,Pyrenees Shire,3384,South West District,-37.3276,143.3647,Victoria
Barkly,Northern Grampians Shire,3384,Wimmera District,-36.8496,142.873,Victoria
Barkstead,Moorabool Shire,3364,Central District,-38.0833,144.3,Victoria
Barmah,Moira Shire,3639,Northern Country District,-36.0506,145.5381,Victoria
Barnadown,Greater Bendigo City,3557,Northern Country District,-36.7228,144.4397,Victoria
Barnawartha,Indigo Shire,3688,North East District,-36.2085,146.6863,Victoria
Barnawartha North,Wodonga City,3691,North East District,-36.1167,146.8833,Victoria
Baromi,South Gippsland Shire,3871,West & South Gippsland District,-38.699,146.067,Victoria
Barongarook,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Barongarook West,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Barrabool,Surf Coast Shire,3221,Central District,-38.34,144.1153,Victoria
Barrakee,Buloke Shire,3525,Mallee District,-35.8464,143.05200000000002,Victoria
Barramunga,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Barraport,Loddon Shire,3537,Northern Country District,-36.4041,143.8296,Victoria
Barraport West,Loddon Shire,3537,Northern Country District,-36.4041,143.8296,Victoria
Barrys Reef,Moorabool Shire,3458,Central District,-38.0833,144.3,Victoria
Barunah Park,Golden Plains Shire,3329,Central District,-37.8523,143.8635,Victoria
Barunah Plains,Colac Otway Shire,3329,South West District,-38.4387,143.5967,Victoria
Barwidgee,Alpine Shire,3737,North East District,-36.8341,146.9794,Victoria
Barwite,Mansfield Shire,3722,North East District,-37.05,146.0833,Victoria
Barwon Downs,Colac Otway Shire,3243,South West District,-38.4387,143.5967,Victoria
Barwon Heads,Greater Geelong City,3227,Central District,-38.0518,144.4614,Victoria
Basalt,Hepburn Shire,3460,Central District,-37.3167,144.1333,Victoria
Bass,Bass Coast Shire,3991,Central District,-38.4851,145.5639,Victoria
Batesford,Golden Plains Shire,3213,Central District,-37.8523,143.8635,Victoria
Batesford,Greater Geelong City,3213,Central District,-38.0518,144.4614,Victoria
Bathumi,Moira Shire,3730,Northern Country District,-36.0506,145.5381,Victoria
Baxter,Mornington Peninsula Shire,3911,Central District,-38.3327,144.9566,Victoria
Bayindeen,Ararat Rural City,3375,South West District,-37.2833,142.9333,Victoria
Bayles,Cardinia Shire,3981,Central District,-38.15,145.4167,Victoria
Baynton,Macedon Ranges Shire,3444,Central District,-37.3334,144.6158,Victoria
