Link,Location,Comments,District,Assigned,Latitude,Longitude
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjl0Mju1bXrAhXQzjgGHbweCgQQFjAAegQIAxAB&url=https%3A%2F%2Fwww.bayside.vic.gov.au%2Fsites%2Fdefault%2Ffiles%2Fcouncil%2Fpart_c2_-_heatwave_sub_plan_october_2017.pdf&usg=AOvVaw1lywxHdc_bW4e8W7MUTnAQ,Bayside City,,,,-37.9399,145.0193
https://www.boroondara.vic.gov.au/community-support/health-and-safety/what-do-heatwave,Boroondara City,,,,-37.8264,145.053
https://www.brimbank.vic.gov.au/emergency-information/heatwave-emergencies,Brimbank City,,,,-37.7429,144.8164
https://www.cardinia.vic.gov.au/info/20019/fire_flood_and_emergencies/57/keeping_safe_in_extreme_heat,Cardinia Shire,,,,-38.15,145.4167
https://www.casey.vic.gov.au/policies-strategies/municipal-public-health-wellbeing-plan-2017-2021-adopted,Casey City,,,,-38.0952,145.3228
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj309uu1rXrAhX-xDgGHVC1Bz4QFjAAegQIAxAB&url=http%3A%2F%2Fwww.darebin.vic.gov.au%2F-%2Fmedia%2Fcityofdarebin%2FFiles%2FYourCouncil%2FHowCouncilWorks%2FMeetingAgendasMinutes%2FCouncilMeetings%2F2013%2F4Mar%2FItem-88-Appendix-A--Darebin-Heatwave-Strategy-20132017.ashx%3Fla%3Den&usg=AOvVaw3sGdLwD6dogUpZq9IkTmm9,Darebin City,,,,-37.7667,145.05
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj309uu1rXrAhX-xDgGHVC1Bz4QFjABegQIBRAB&url=http%3A%2F%2Fwww.darebin.vic.gov.au%2F-%2Fmedia%2Fcityofdarebin%2FFiles%2FDarebin-Living%2FCaringfortheEnvironment%2FEnergyandClimate%2FClimateChange%2FDarebinClimateEmergencyPlan2017-2022.ashx%3Fla%3Den&usg=AOvVaw0YKv8FTQ-R-sECWn9OAAxg,,,,,,
http://www.darebin.vic.gov.au/en/Your-Council/Talk-to-us/Emergencies,,,,,,
https://www.frankston.vic.gov.au/Our_Community/Community_Safety/What_to_do_in_specific_Emergency_Situations/Heatwave,Frankston City,,,,-38.1333,145.1167
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjEmO3m1rXrAhUbwjgGHXc4A-QQFjAAegQIBRAB&url=http%3A%2F%2Fwww.frankston.vic.gov.au%2Ffiles%2F014d2da2-c448-4fe9-ad72-a21500d8248a%2FMEMP_Heatwave_Sub_Plan.pdf&usg=AOvVaw3r6-8_saNpntMZQ6QaPsmU,,,,,,
,French Island (unincorporated),,,,,
https://www.gleneira.vic.gov.au/services/support-and-safety/emergencies/heatwave,Glen Eira City,,,,-37.8995,145.041
https://www.goldenplains.vic.gov.au/news/5-tips-surviving-heat,Golden Plains Shire,,,,-37.8523,143.8635
https://www.goldenplains.vic.gov.au/residents/my-community/emergency-management,,,,,,
https://greaterdandenong.com/document/16111/heat-related-issues,Greater Dandenong City,,,,-38.0011,145.1907
https://www.geelongaustralia.com.au/em/article/item/8cc5b492a3f19f0.aspx,Greater Geelong City,THe page is empty???,,,-38.0518,144.4614
https://www.hepburn.vic.gov.au/heatwave/,Hepburn Shire,,,,-37.3167,144.1333
https://www.hobsonsbay.vic.gov.au/Community/Community-services/Health-Wellbeing/Heat-health,Hobsons Bay City,,,,-37.8569,144.8335
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjgkPXji7brAhX8yDgGHZsEDGMQFjABegQIAxAB&url=https%3A%2F%2Fwww.hume.vic.gov.au%2Ffiles%2Fsharedassets%2Fpublic%2Fresidents%2Ffires-and-emergency-management%2Fheat-health-plan-january-2020.pdf&usg=AOvVaw0QJfMOvmRLsymUCkZdmRoL,Hume City,,,,-37.5972,144.8051
https://www.kingston.vic.gov.au/Community/Municipal-Emergency-Management/Are-you-Prepared-for-an-Emergency,Kingston City,,,,-38.0045,145.0953
https://www.yourkingstonyoursay.com.au/25401/documents/59360,,,,,,
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiqubiajLbrAhWzwTgGHVtTAzwQFjAAegQIBBAB&url=https%3A%2F%2Fwww.knox.vic.gov.au%2Ffiles%2FEmergencies%2FLocal_Government_Extreme_Heat_Plan.PDF&usg=AOvVaw0_vqzU78tr8psGgDkNELn7,Knox City,,,Tan,-37.8989,145.2692
https://www.mrsc.vic.gov.au/Live-Work/Fire-Emergencies/Fire-Heat/Heatwaves-and-Hot-Days,Macedon Ranges Shire,,,,-37.3334,144.6158
https://www.manningham.vic.gov.au/heatwave-and-health-emergencies,Manningham City,,,,-37.7571,145.1805
https://www.maribyrnong.vic.gov.au/Residents/Support-in-your-community/Take-care-in-Extreme-Heat,Maribyrnong City,,,,-37.7833,144.8833
https://www.maroondah.vic.gov.au/Community-support-services/Health-safety-and-community-resources/Heatwaves,Maroondah City,,,,-37.8029,145.266
https://www.melbourne.vic.gov.au/community/safety-emergency/emergency-management/Pages/heatwaves.aspx,Melbourne City,,,,-37.814,144.9633
https://www.melton.vic.gov.au/Services/Health-safety-and-wellbeing/Emergency/Heatwave-emergencies,Melton Shire,,,,-37.6833,144.5833
https://www.monash.vic.gov.au/About-Us/News/Extreme-heat-conditions,Monash City,,,,-37.8968,145.1471
https://mvcc.vic.gov.au/live/my-house/climateaction/,Moonee Valley City,,,,-37.7494,144.8933
https://www.moorabool.vic.gov.au/residents/community/emergency-management/emergency-management-information,Moorabool Shire,,,,-38.0833,144.3
https://www.moreland.vic.gov.au/about-us/emergency-management/heatwaves/,Moreland City,,,,-37.7356,144.9375
https://www.mornpen.vic.gov.au/Community-Services/Seniors/Health-Wellbeing-Tips-for-Older-Residents/How-to-prepare-for-heat-waves-and-stay-healthy-this-summer,Mornington Peninsula Shire,,,,-38.3327,144.9566
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiO8Y69mLbrAhV04jgGHb_7BGoQFjABegQICxAD&url=http%3A%2F%2Fwww.nillumbik.vic.gov.au%2Ffiles%2Fassets%2Fpublic%2Fliving-in%2Ffire-and-other-emergencies%2Fburning-off%2Fmemp_subplan_heatwave_strategy.pdf&usg=AOvVaw0RK5Cdbrl3omlEp7KaJo7m,Nillumbik Shire,,,,-37.6147,145.2171
https://www.nillumbik.vic.gov.au/Living-in/Fire-and-other-emergencies/Heat-and-health-warnings,,,,,,
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiO8Y69mLbrAhV04jgGHb_7BGoQFjADegQIAhAB&url=https%3A%2F%2Fwww.nillumbik.vic.gov.au%2Ffiles%2Fassets%2Fpublic%2Fpeople-and-family%2Fhealth-and-wellbeing%2Fhealth-and-wellbeing-plan-2017-2021.pdf&usg=AOvVaw2NwYc96isigtcuol0uYi4k,,,,,,
https://www.portphillip.vic.gov.au/council-services/health-and-safety/severe-weather-preparation,Port Phillip City,,,,-37.8587,144.9615
https://www.portphillip.vic.gov.au/people-and-community/sustainability-action/take-climate-action/prepare-for-a-changing-climate/beat-the-heat-this-summer,,,,,,
https://www.queenscliffe.vic.gov.au/community/public-health/heatwaves,Queenscliffe Borough,,,,-38.2551,144.6726
https://www.stonnington.vic.gov.au/Community/Community-health-and-safety/Heatwaves,Stonnington City,,,,-37.8613,145.0378
https://www.surfcoast.vic.gov.au/Community/Emergencies-and-safety/Preparing-for-emergencies#section-4,Surf Coast Shire,,,,-38.34,144.1153
https://www.whitehorse.vic.gov.au/living-working/emergencies/types-emergencies/extreme-heat,Whitehorse City,,,,-37.8287,145.1543
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwit64urmbbrAhXSzDgGHZTgBpEQFjAAegQIAxAB&url=https%3A%2F%2Fwww.whitehorse.vic.gov.au%2Fsites%2Fwhitehorse.vic.gov.au%2Ffiles%2Fassets%2Fdocuments%2FWhitehorse%2520Health%2520and%2520Wellbeing%2520Plan%25202012-2021.pdf&usg=AOvVaw1QM9oj6DBlIgu7PBa9MY4n,,,,,,
https://www.whittlesea.vic.gov.au/health-safety/staying-safe/staying-safe-in-the-heat/,Whittlesea City,,,,-37.5167,145.1167
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiKooLLmbbrAhW0yzgGHf0ZAO4QFjAAegQIARAB&url=https%3A%2F%2Fwww.wyndham.vic.gov.au%2Fsites%2Fdefault%2Ffiles%2F2018-03%2FWCC%2520MEMP%25202018-2021%2520V1.1.pdf&usg=AOvVaw0M1vogJ1rFyUm9JpPv5KTG,Wyndham City,,,,-37.8928,144.6357
https://www.yarracity.vic.gov.au/the-area/community-safety-and-wellbeing/emergency-management,Yarra City,,,,-37.8049,145.0034
,Yarran Ranges Shire,Can't find anything,,,-37.7501,145.7371
