Council,Suburb,Post Code
40,Bungeet,3726
40,Bungeet West,3726
67,Bungil,3691
56,Bunguluke,3527
54,Buninyong,3357
7,Buninyong,3357
7,Bunkers Hill,3352
52,Bunyip,3815
52,Bunyip North,3815
31,Burkes Bridge,3568
32,Burkes Flat,3475
24,Burnbank,3371
57,Burnewang,3558
2,Burnley,3121
10,Burnside,3023
10,Burnside Heights,3023
57,Burramboot,3559
20,Burramine,3730
20,Burramine South,3730
67,Burrowye,3709
24,Burrumbeet,3352
7,Burrumbeet,3352
48,Burwood,3125
59,Burwood,3125
59,Burwood East,3151
17,Bushfield,3281
16,Bushfield,3281
12,Bushy Park,3860
28,Butchers Ridge,3885
5,Buxton,3711
16,Byaduk,3301
58,Byaduk,3301
58,Byaduk North,3300
39,Byawatha,3678
46,Bylands,3762
51,Bylands,3762
36,Byrneside,3617
72,Cabarita,3505
18,Cabbage Tree,3364
28,Cabbage Tree Creek,3889
46,Cadello,3442
13,Cairnlea,3023
52,Caldermeade,3984
42,California Gully,3556
32,Calivil,3573
38,Callawadda,3387
73,Callignee,3844
12,Callignee North,3844
12,Callignee South,3844
12,Calrossie,3971
28,Calulu,3875
47,Camberwell,3124
25,Cambrian Hill,3352
50,Campbellfield,3061
38,Campbells Bridge,3387
62,Campbells Creek,3451
32,Campbells Forest,3556
8,Campbelltown,3364
62,Campbelltown,3364
18,Campbelltown,3364
53,Camperdown,3260
7,Canadian,3350
32,Canary Island,3537
36,Caniambo,3630
28,Cann River,3890
31,Cannie,3540
65,Cannons Creek,3977
41,Cannum,3393
47,Canterbury,3126
19,Cape Bridgewater,3305
25,Cape Clear,3351
28,Cape Conran,3888
23,Cape Otway,3233
6,Cape Paterson,3995
45,Cape Schanck,3939
6,Cape Woolamai,3925
45,Capel Sound,3940
31,Capels Crossing,3579
57,Carag Carag,3623
8,Caralulup,3371
16,Caramut,3274
38,Carapooee,3477
38,Carapooee West,3477
58,Carapook,3312
19,Carapook,3312
39,Carboor,3678
7,Cardigan,3352
7,Cardigan Village,3352
52,Cardinia,3978
72,Cardross,3496
54,Cargerie,3334
72,Carina,3512
4,Caringal,3825
8,Carisbrook,3464
62,Carisbrook,3464
23,Carlisle River,3239
46,Carlsruhe,3442
77,Carlton,3053
77,Carlton North,3054
2,Carlton North,3054
15,Carlyle,3685
69,Carnegie,3163
24,Carngham,3351
10,Caroline Springs,3023
53,Carpendeit,3260
23,Carpendeit,3260
12,Carrajung,3844
12,Carrajung Lower,3844
12,Carrajung South,3844
35,Carranballac,3361
24,Carranballac,3361
56,Carron,3480
49,Carrum,3197
78,Carrum Downs,3201
72,Carwarp,3494
19,Cashmore,3305
28,Cassilis,3898
5,Castella,3777
19,Casterton,3311
60,Castle Creek,3691
29,Castle Donnington,3585
62,Castlemaine,3450
52,Catani,3981
35,Cathcart,3377
5,Cathkin,3714
32,Catumnal,3537
69,Caulfield,3162
69,Caulfield East,3145
69,Caulfield North,3161
69,Caulfield South,3162
5,Caveat,3660
58,Cavendish,3314
26,Ceres,3221
48,Chadstone,3148
28,Chandlers Creek,3890
53,Chapple Vale,3239
23,Chapple Vale,3239
33,Charam,3318
26,Charlemont,3217
15,Charleroi,3695
56,Charlton,3525
35,Chatsworth,3379
16,Chatsworth,3379
49,Chelsea,3196
49,Chelsea Heights,3196
49,Cheltenham,3192
66,Cheltenham,3192
24,Chepstowe,3351
46,Cherokee,3434
58,Cherrypool,3401
39,Cheshunt,3678
40,Chesney Vale,3725
33,Chetwynd,3312
62,Chewton,3451
62,Chewton Bushlands,3451
4,Childers,3824
29,Chillingollah,3585
15,Chiltern,3683
15,Chiltern Valley,3683
29,Chinangin,3544
29,Chinkapook,3546
46,Chintin,3756
55,Chirnside Park,3116
56,Chirrip,3525
53,Chocolyn,3260
44,Christmas Hills,3775
55,Chum Creek,3777
73,Churchill,3842
6,Churchill Island,3925
24,Chute,3373
54,Clarendon,3352
54,Claretown,3352
49,Clarinda,3169
50,Clarkefield,3430
46,Clarkefield,3430
54,Clarkes Hill,3352
48,Clayton,3168
49,Clayton South,3169
34,Clear Lake,3409
55,Clematis,3782
52,Clematis,3782
28,Clifton Creek,3875
2,Clifton Hill,3068
26,Clifton Springs,3222
51,Clonbinane,3658
58,Clover Flat,3315
4,Cloverlea,3822
28,Club Terrace,3889
18,Clunes,3370
65,Clyde,3978
65,Clyde North,3978
12,Clydebank,3851
18,Clydesdale,3461
4,Coalville,3825
12,Cobains,3851
46,Cobaw,3442
28,Cobbannah,3862
10,Cobblebank,3338
53,Cobden,3266
20,Cobram,3644
20,Cobram East,3644
53,Cobrico,3266
28,Cobungra,3898
75,Coburg,3058
21,Coburg,3058
75,Coburg North,3058
21,Coburg North,3058
29,Cocamba,3546
32,Cochranes Creek,3475
52,Cockatoo,3781
16,Codrington,3285
7,Coghills Creek,3364
31,Cohuna,3568
54,Coimadai,3340
56,Cokum,3542
23,Colac,3250
67,Colac Colac,3707
23,Colac East,3250
23,Colac West,3250
57,Colbinabbin,3559
54,Colbrook,3342
55,Coldstream,3770
58,Coleraine,3315
72,Colignan,3494
2,Collingwood,3066
28,Combienbar,3889
38,Concongella,3384
19,Condah,3303
16,Condah Swamp,3286
36,Congupna,3633
11,Connewarre,3227
26,Connewarre,3227
33,Connewirricoo,3318
58,Coojar,3315
50,Coolaroo,3048
36,Cooma,3616
36,Coomboona,3629
18,Coomoora,3461
12,Coongulla,3860
56,Coonooer Bridge,3477
38,Coonooer Bridge,3477
38,Coonooer West,3477
53,Cooriemungle,3268
38,Cope Cope,3480
56,Cope Cope,3480
52,Cora Lynn,3814
56,Corack,3480
56,Corack East,3480
23,Coragulac,3249
1,Coral Bank,3691
25,Corindhap,3352
6,Corinella,3984
26,Corio,3214
19,Corndale,3311
57,Cornella,3551
15,Cornishtown,3683
6,Coronet Bay,3984
57,Corop,3559
23,Cororooke,3254
28,Corringle,3888
67,Corryong,3707
23,Corunnun,3249
36,Cosgrove,3631
36,Cosgrove South,3631
42,Costerfield,3523
8,Cotswold,3465
44,Cottles Bridge,3099
72,Cowangie,3506
6,Cowes,3922
53,Cowleys Creek,3268
12,Cowwarr,3857
73,Cowwarr,3857
8,Craigie,3465
50,Craigieburn,3064
65,Cranbourne,3977
65,Cranbourne East,3977
65,Cranbourne North,3977
65,Cranbourne South,3977
65,Cranbourne West,3977
37,Creek Junction,3669
57,Creek View,3558
37,Creightons Creek,3666
2,Cremorne,3121
25,Cressy,3322
53,Cressy,3322
23,Cressy,3322
7,Creswick,3363
18,Creswick,3363
18,Creswick North,3363
45,Crib Point,3919
12,Crooked River,3862
24,Cross Roads,3373
16,Crossley,3283
4,Crossover,3821
35,Crowlands,3377
38,Crowlands,3377
24,Crowlands,3377
58,Croxton East,3301
64,Croydon,3136
64,Croydon Hills,3136
64,Croydon North,3136
64,Croydon South,3136
30,Crymelon,3393
41,Crymelon,3393
16,Cudgee,3265
67,Cudgewa,3705
56,Culgoa,3530
58,Culla,3315
31,Cullen,3568
72,Cullulleraine,3496
23,Cundare,3251
53,Cundare North,3251
23,Cundare North,3251
53,Curdies River,3268
16,Curdievale,3268
53,Curdievale,3268
26,Curlewis,3222
56,Curyo,3483
34,Dadswells Bridge,3385
38,Dadswells Bridge,3385
8,Daisy Hill,3465
54,Dales Creek,3341
50,Dallas,3047
52,Dalmore,3981
31,Daltons Bridge,3568
38,Dalyenong,3477
6,Dalyston,3992
61,Dandenong,3175
61,Dandenong North,3175
61,Dandenong South,3175
1,Dandongadale,3737
12,Dargo,3862
54,Darley,3340
9,Darlimurla,3871
73,Darlimurla,3871
53,Darlington,3271
16,Darlington,3271
4,Darnum,3822
46,Darraweit Guim,3756
12,Darriman,3851
19,Dartmoor,3304
67,Dartmouth,3701
28,Dartmouth,3701
12,Dawson,3858
18,Daylesford,3460
18,Dean,3363
11,Deans Marsh,3235
10,Deanside,3336
28,Deddick Valley,3888
1,Dederang,3691
38,Deep Lead,3385
47,Deepdene,3103
13,Deer Park,3023
7,Delacombe,3356
13,Delahey,3037
27,Delatite,3723
4,Delburn,3871
73,Delburn,3871
9,Delburn,3871
28,Delegate River,3888
35,Denicull Creek,3377
12,Denison,3858
16,Dennington,3280
17,Dennington,3280
18,Denver,3461
32,Derby,3516
25,Dereel,3352
33,Dergholm,3312
19,Dergholm,3312
13,Derrimut,3026
42,Derrinal,3523
53,Derrinallum,3325
40,Devenish,3726
5,Devils River,3714
65,Devon Meadows,3977
12,Devon North,3971
52,Dewhurst,3808
36,Dhurringile,3610
44,Diamond Creek,3089
19,Digby,3309
10,Diggers Rest,3427
50,Diggers Rest,3427
57,Diggora,3561
30,Dimboola,3414
41,Dimboola,3414
32,Dingee,3571
49,Dingley Village,3172
31,Dingwall,3579
1,Dinner Plain,3898
53,Dixie,3265
55,Dixons Creek,3775
35,Dobie,3377
39,Docker,3678
39,Dockers Plains,3678
77,Docklands,3008
28,Doctors Flat,3895
9,Dollar,3871
55,Don Valley,3139
56,Donald,3480
76,Doncaster,3108
76,Doncaster East,3109
71,Donnybrook,3064
76,Donvale,3111
56,Dooboobetic,3478
34,Dooen,3401
36,Dookie,3646
36,Dookie College,3647
71,Doreen,3754
44,Doreen,3754
33,Dorodong,3312
34,Douglas,3409
33,Douglas,3409
65,Doveton,3177
23,Dreeite,3249
23,Dreeite South,3249
73,Driffield,3840
19,Drik Drik,3304
45,Dromana,3936
5,Dropmore,3660
4,Drouin,3818
4,Drouin East,3818
4,Drouin South,3818
4,Drouin West,3818
20,Drumanure,3636
19,Drumborg,3304
26,Drumcondra,3215
42,Drummartin,3570
18,Drummond,3461
46,Drummond,3461
18,Drummond North,3446
62,Drummond North,3446
46,Drummond North,3446
34,Drung,3401
18,Dry Diggings,3461
26,Drysdale,3222
34,Duchembegarra,3409
9,Dumbalk,3956
9,Dumbalk North,3956
56,Dumosa,3527
18,Dunach,3371
8,Dunach,3371
16,Dundonnell,3271
58,Dunkeld,3294
35,Dunkeld,3294
8,Dunluce,3472
35,Dunneworthy,3377
54,Dunnstown,3352
8,Dunolly,3472
32,Dunolly,3472
19,Dunrobin,3312
25,Durdidwarrah,3342
54,Durham Lead,3352
7,Durham Lead,3352
25,Durham Lead,3352
32,Durham Ox,3576
12,Dutson,3851
19,Dutton Way,3305
53,Duverney,3323
28,Eagle Point,3878
42,Eaglehawk,3556
42,Eaglehawk North,3556
68,Eaglemont,3084
37,Earlston,3669
28,East Bairnsdale,3875
42,East Bendigo,3550
26,East Geelong,3219
77,East Melbourne,3002
12,East Sale,3852
39,East Wangaratta,3678
55,East Warburton,3799
11,Eastern View,3231
32,Eastville,3463
28,Eastwood,3875
60,Ebden,3691
57,Echuca,3564
57,Echuca Village,3564
57,Echuca West,3564
16,Ecklin South,3265
53,Ecklin South,3265
32,Eddington,3472
62,Eddington,3472
8,Eddington,3472
71,Eden Park,3757
33,Edenhope,3318
46,Edgecombe,3444
39,Edi,3678
39,Edi Upper,3678
49,Edithvale,3196
18,Eganstown,3461
5,Eildon,3713
54,Elaine,3334
39,Eldorado,3746
18,Elevated Plains,3461
53,Elingamite,3266
53,Elingamite North,3266
28,Ellaswood,3875
16,Ellerslie,3265
23,Elliminyt,3250
4,Ellinbank,3821
35,Elmhurst,3469
24,Elmhurst,3469
42,Elmore,3558
62,Elphinstone,3448
69,Elsternwick,3185
68,Eltham,3095
44,Eltham,3095
44,Eltham North,3095
68,Eltham North,3095
14,Elwood,3184
52,Emerald,3782
55,Emerald,3782
32,Emu,3475
38,Emu,3475
42,Emu Creek,3551
